SMILES,MolWt,LogP,TPSA,RotB,AroProp
Clc1cccc2ccccc12,162.61899999999997,3.4932000000000016,0.0,0,0.9090909090909092
CCCCCCl,106.596,2.415400000000001,0.0,3,0.0
CCCCl,78.542,1.6352,0.0,1,0.0
CCCCCCCCCCO,158.285,3.119400000000002,20.23,8,0.0
CCCCCCCCC=C,140.26999999999998,3.923000000000003,0.0,7,0.0
CCCCCCCCCCCCO,186.33899999999997,3.899600000000003,20.23,10,0.0
CCc1cccc2ccccc12,156.22799999999998,3.4022000000000023,0.0,1,0.8333333333333334
CCCCCCCO,116.204,1.9491,20.23,5,0.0
CCCCCC=C,98.189,2.752700000000001,0.0,4,0.0
CCCCCC#C,96.173,2.1999000000000004,0.0,3,0.0
CCCCCCCCCCCCCCCCO,242.44699999999992,5.460000000000006,20.23,14,0.0
CCCCCCO,102.177,1.559,20.23,4,0.0
CCCCC=C,84.16199999999999,2.3626000000000005,0.0,3,0.0
CCCC(O)C=C,100.161,1.3334,20.23,3,0.0
CCCCC#C,82.14599999999999,1.8098,0.0,2,0.0
CCCCI,184.02,2.2215,0.0,2,0.0
CCCCCCCI,226.101,3.3918000000000026,0.0,5,0.0
Ic1cccc2ccccc12,254.07,3.4444000000000017,0.0,0,0.9090909090909092
CCCI,169.993,1.8314,0.0,1,0.0
CC1=CCCCC1,96.17300000000002,2.5067000000000004,0.0,0,0.0
Cc1cccc2c1Cc3ccccc32,180.25000000000003,3.566220000000002,0.0,0,0.8571428571428571
Cc1cccc2ccccc12,142.201,3.148220000000002,0.0,0,0.9090909090909092
Cc1cccc2c1ccc3ccccc32,192.261,4.301420000000003,0.0,0,0.9333333333333332
Cn1ccc(=O)[nH]c1=O,126.115,-0.9264,54.86,0,0.6666666666666666
Oc1cccc2ccccc12,144.17299999999997,2.5454000000000008,20.23,0,0.9090909090909092
Nc1cccc2ccccc12,143.189,2.4220000000000006,26.02,0,0.9090909090909092
O=N(=O)c1cccc2ccccc12,173.171,2.748000000000001,43.14,1,0.7692307692307693
CCCN(=O)=O,89.09399999999998,0.6731,43.14,2,0.0
CCCCCCCCCO,144.258,2.7293000000000016,20.23,7,0.0
CCCCCCCC=C,126.243,3.5329000000000024,0.0,6,0.0
CCCCCCCC#C,124.227,2.980100000000002,0.0,5,0.0
CCCCCCCCCCCCCCCCCCO,270.50099999999986,6.240200000000008,20.23,16,0.0
CCCCCCCCO,130.23100000000002,2.3392000000000013,20.23,6,0.0
CCCCCCC=C,112.216,3.142800000000002,0.0,5,0.0
CCCCCCC#C,110.2,2.5900000000000007,0.0,4,0.0
CCCCCCCCCCCCCCCO,228.41999999999993,5.069900000000006,20.23,13,0.0
CCCCCO,88.14999999999999,1.1689,20.23,3,0.0
CCCC=C,70.135,1.9725,0.0,2,0.0
CCCC#C,68.11899999999999,1.4197,0.0,1,0.0
CC(O)c1ccccc1,122.16699999999996,1.7399,20.23,1,0.6666666666666666
CCCO,60.096,0.3887,20.23,1,0.0
CCCCCCCCCCCCCCO,214.39299999999992,4.679800000000005,20.23,12,0.0
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,498.66200000000026,9.8876,0.0,1,0.5454545454545454
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,429.77200000000016,8.580799999999998,0.0,1,0.6
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,360.88200000000006,7.274000000000001,0.0,1,0.6666666666666666
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,429.77200000000016,8.580799999999998,0.0,1,0.6
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,360.88200000000006,7.274000000000001,0.0,1,0.6666666666666666
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,291.99199999999996,5.967200000000002,0.0,1,0.75
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,395.3270000000001,7.9274,0.0,1,0.631578947368421
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,395.3270000000001,7.9274,0.0,1,0.631578947368421
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,360.88200000000006,7.274000000000001,0.0,1,0.6666666666666666
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,326.437,6.620600000000001,0.0,1,0.7058823529411765
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,326.437,6.620600000000001,0.0,1,0.7058823529411765
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl ,360.88200000000006,7.274000000000001,0.0,1,0.6666666666666666
Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl ,291.9920000000001,5.967200000000002,0.0,1,0.75
CC(C)C(C)(C)C,100.20499999999998,2.6885000000000012,0.0,0,0.0
Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl ,360.88200000000006,7.274000000000001,0.0,1,0.6666666666666666
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,360.88200000000006,7.274000000000001,0.0,1,0.6666666666666666
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,291.99199999999996,5.967200000000002,0.0,1,0.75
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,326.437,6.620600000000001,0.0,1,0.7058823529411765
CC(C)CC(C)(C)C,114.232,3.0786000000000016,0.0,1,0.0
CC(C)CCC(C)(C)C,128.259,3.468700000000003,0.0,2,0.0
Clc1cccc(Cl)c1c2c(Cl)cccc2Cl ,291.99199999999996,5.967200000000002,0.0,1,0.75
CCC(C)(C)CO,102.17699999999998,1.4149,20.23,2,0.0
CCC(C)(C)C,86.17799999999998,2.442500000000001,0.0,0,0.0
CCCC(C)(C)C,100.20499999999998,2.832600000000001,0.0,1,0.0
CCCC(C)(C)CO,116.20399999999998,1.805,20.23,3,0.0
CC(C)(C)CO,88.14999999999999,1.0248,20.23,0,0.0
Clc1ccccc1c2ccccc2Cl ,223.102,4.660400000000002,0.0,1,0.8571428571428571
Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl ,360.88200000000006,7.274,0.0,1,0.6666666666666666
Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl ,395.3270000000001,7.9274,0.0,1,0.631578947368421
Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl ,360.88200000000006,7.274000000000001,0.0,1,0.6666666666666666
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,326.437,6.620600000000001,0.0,1,0.7058823529411765
Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl ,326.437,6.620600000000001,0.0,1,0.7058823529411765
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,291.992,5.967200000000002,0.0,1,0.75
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,231.893,4.0058,20.23,0,0.5454545454545454
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,231.89299999999997,4.005799999999999,20.23,0,0.5454545454545454
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,257.547,5.313800000000001,0.0,1,0.8
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,257.547,5.313800000000001,0.0,1,0.8
Oc1ccc(Cl)c(Cl)c1Cl,197.448,3.3524000000000003,20.23,0,0.6
CC(C)C(C)C(C)C,114.232,2.9345000000000017,0.0,2,0.0
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,231.893,4.0058,20.23,0,0.5454545454545454
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,257.547,5.313800000000001,0.0,1,0.8
Oc1cc(Cl)cc(Cl)c1Cl,197.448,3.3523999999999994,20.23,0,0.6
Oc1c(Cl)ccc(Cl)c1Cl,197.448,3.3523999999999994,20.23,0,0.6
O=N(=O)c1c(Cl)c(Cl)ccc1,192.00100000000003,2.901600000000001,43.14,1,0.5454545454545454
Oc1cccc(Cl)c1Cl,163.003,2.699,20.23,0,0.6666666666666666
CC(=C)C(=C)C,82.146,2.1386000000000003,0.0,1,0.0
CC(C)C(C)C,86.178,2.2984,0.0,1,0.0
Cc1cc2ccccc2cc1C,156.22799999999998,3.456640000000002,0.0,0,0.8333333333333334
CCC(C)C(C)C,100.20499999999998,2.6885000000000012,0.0,2,0.0
Cc1cccnc1C,107.156,1.69844,12.89,0,0.75
Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,257.547,5.313800000000001,0.0,1,0.8
Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,257.547,5.313800000000001,0.0,1,0.8
Oc1cc(Cl)c(Cl)cc1Cl,197.448,3.3524000000000003,20.23,0,0.6
Clc1ccc(cc1)c2c(Cl)cccc2Cl ,257.547,5.313800000000001,0.0,1,0.8
Oc1c(Cl)cc(Cl)cc1Cl,197.448,3.3523999999999994,20.23,0,0.6
Cc1cc(C)c(O)c(C)c1,136.194,2.3174600000000005,20.23,0,0.6
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,227.132,1.7196200000000006,129.42000000000002,3,0.375
Oc1ccc(Cl)cc1Cl,163.003,2.699,20.23,0,0.6666666666666666
CC(C)CC(C)(C)O,116.20399999999998,1.8034,20.23,2,0.0
CC(C)C(O)C(C)C,116.20399999999998,1.6593,20.23,2,0.0
CC(C)C(=O)C(C)C,114.18799999999996,1.8675,17.07,2,0.0
CC(C)CC(C)C,100.20499999999998,2.6885000000000012,0.0,2,0.0
Cc1ccc(O)c(C)c1,122.167,2.0090399999999997,20.23,0,0.6666666666666666
Cc1ccnc(C)c1,107.156,1.69844,12.89,0,0.75
Cc1ccc(cc1N(=O)=O)N(=O)=O,182.135,1.8114200000000005,86.28,2,0.4615384615384615
Clc1ccc(cc1)c2ccccc2Cl ,223.102,4.660400000000002,0.0,1,0.8571428571428571
Clc1ccc(cc1)c2ccccc2Cl ,223.102,4.660400000000002,0.0,1,0.8571428571428571
Oc1c(Cl)cccc1Cl,163.003,2.699,20.23,0,0.6666666666666666
Cc1ccc2cc(C)ccc2c1,156.228,3.456640000000002,0.0,0,0.8333333333333334
Cc1cccc(C)c1O,122.167,2.00904,20.23,0,0.6666666666666666
Cc1cccc(C)n1,107.156,1.69844,12.89,0,0.75
Cc1c(cccc1N(=O)=O)N(=O)=O,182.135,1.8114200000000005,86.28,2,0.4615384615384615
Clc1cccc(Cl)c1c2ccccc2 ,223.102,4.660400000000003,0.0,1,0.8571428571428571
c2c(C)cc1nc(C)ccc1c2 ,157.216,2.8516400000000006,12.89,0,0.8333333333333334
Nc3ccc2cc1ccccc1cc2c3 ,193.249,3.5752000000000015,26.02,0,0.9333333333333332
c1c(Br)ccc2ccccc12 ,207.07,3.6023000000000014,0.0,0,0.9090909090909092
Brc1ccc2ccccc2c1,207.07,3.6023000000000014,0.0,0,0.9090909090909092
CC(C)Br,122.993,1.7897,0.0,0,0.0
Cc1ccccc1Br,171.03699999999998,2.7575200000000013,0.0,0,0.75
CCC(=O)C,72.107,0.9854,17.07,1,0.0
CC=CC=O,70.09100000000001,0.7614000000000001,17.07,1,0.0
CCCCOCCO,118.176,0.7953999999999999,29.46,5,0.0
CCC(C)(C)Cl,106.596,2.4138,0.0,1,0.0
COc1ccccc1Cl,142.58499999999998,2.3486,9.23,1,0.6666666666666666
Clc1ccccc1c2ccccc2,188.657,4.007000000000002,0.0,1,0.9230769230769232
CCC(C)Cl,92.569,2.0237,0.0,1,0.0
Clc1ccc2ccccc2c1,162.61899999999997,3.4932000000000016,0.0,0,0.9090909090909092
Oc1ccccc1Cl,128.558,2.0456000000000003,20.23,0,0.75
CC(C)Cl,78.542,1.6336,0.0,0,0.0
Cc1ccccc1Cl,126.586,2.6484200000000007,0.0,0,0.75
NC(N)=NC#N ,84.082,-1.2591199999999998,88.19,0,0.0
CCCCCCCCC(=O)C,156.269,3.3260000000000023,17.07,7,0.0
CCc1ccccn1,107.15599999999998,1.644,12.89,1,0.75
CCC(CC)CO,102.177,1.4149,20.23,3,0.0
CCCCC(CC)CO,130.231,2.1951000000000005,20.23,5,0.0
CCCC=C(CC)C=O,126.19899999999998,2.3218000000000005,17.07,4,0.0
CCC(CC)C=O,100.161,1.6215,17.07,3,0.0
CCCCC(CC)C=O,128.21499999999995,2.401700000000001,17.07,5,0.0
CCc1ccc2ccccc2c1,156.22799999999998,3.4022000000000014,0.0,1,0.8333333333333334
CCc1ccccc1C,120.19499999999996,2.5574200000000005,0.0,1,0.6666666666666666
CCCCCC(C)O,116.20399999999998,1.9475,20.23,4,0.0
CCCCCC(=O)C,114.188,2.1557000000000004,17.07,4,0.0
CCCCC(C)O,102.17699999999998,1.5574,20.23,3,0.0
CCCCC(=O)C,100.161,1.7656,17.07,3,0.0
Oc2ncc1nccnc1n2,148.125,0.1253999999999998,71.79,0,0.9090909090909092
Oc1ccccn1,95.101,0.7871999999999999,33.120000000000005,0,0.8571428571428571
CC(C)I,169.993,1.8298,0.0,0,0.0
CC(C)c1ccccc1C,134.22199999999995,3.118420000000002,0.0,1,0.6
COc2ncc1nccnc1n2,162.152,0.4283999999999998,60.790000000000006,1,0.8333333333333334
CC=C(C)C,70.13499999999999,1.9725,0.0,0,0.0
CC(=C)C=C,68.11900000000001,1.7485,0.0,1,0.0
CCC(=C)C,70.13499999999999,1.9725,0.0,1,0.0
CCCC(=C)C,84.16199999999999,2.3626000000000005,0.0,2,0.0
CCCCCC(C)(C)O,130.231,2.337600000000001,20.23,4,0.0
CCCCC(C)(C)O,116.20399999999998,1.9475,20.23,3,0.0
CCCC(C)(C)O,102.17699999999998,1.5574,20.23,2,0.0
CCC(O)C(C)C,102.177,1.4133,20.23,2,0.0
Cc1ccc2cc3ccccc3cc2c1,192.261,4.301420000000002,0.0,0,0.9333333333333332
CCC(C)(C)O,88.14999999999998,1.1673,20.23,1,0.0
CCC(C)C,72.151,2.0524,0.0,1,0.0
CCC(C)CO,88.14999999999999,1.0248,20.23,2,0.0
CCCCCC(C)C,114.232,3.2227000000000023,0.0,4,0.0
Cc1ccc2ccccc2c1,142.201,3.148220000000001,0.0,0,0.9090909090909092
CCCC(C)C,86.178,2.442500000000001,0.0,2,0.0
CCCC(C)CO,102.177,1.4149,20.23,3,0.0
Cc1ccc2c(ccc3ccccc32)c1,192.261,4.301420000000003,0.0,0,0.9333333333333332
Cc1ccccc1O,108.14,1.70062,20.23,0,0.75
CC(C)CO,74.12299999999999,0.6347,20.23,1,0.0
CC(C)C,58.123999999999995,1.6623,0.0,0,0.0
CC(=C)C,56.108,1.5824,0.0,0,0.0
Cc2ncc1nccnc1n2,146.153,0.7282199999999999,51.56,0,0.9090909090909092
CC1CCCO1,86.134,1.1853,9.23,0,0.0
Oc1ccc2ccccc2c1,144.17299999999997,2.5454,20.23,0,0.9090909090909092
CC(C)N(=O)=O,89.094,0.6715,43.14,1,0.0
CCCCCCCC(C)O,144.258,2.727700000000002,20.23,6,0.0
CCCCCCCC(=O)C,142.242,2.935900000000001,17.07,6,0.0
CCCCCCC(C)O,130.231,2.337600000000001,20.23,5,0.0
CCCCCCC(=O)C,128.21499999999995,2.5458000000000007,17.07,5,0.0
CCCC(C)O,88.14999999999999,1.1673,20.23,2,0.0
CCCC(=O)C,86.13399999999999,1.3755,17.07,2,0.0
OCCOc1ccccc1,138.16599999999997,1.0577,29.46,3,0.6
CC(C)O,60.096,0.3871,20.23,0,0.0
O=C1CCCN1,85.10600000000001,-0.1036,29.1,0,0.0
CCCCCCCCCC(C)O,172.312,3.5079000000000025,20.23,8,0.0
CC(C)(C)CCO,102.177,1.4149,20.23,1,0.0
CC(O)C(C)(C)C,102.177,1.4133,20.23,0,0.0
CC(=O)C(C)(C)C,100.161,1.6215,17.07,0,0.0
CCC(C)(C)CC,100.20499999999998,2.832600000000001,0.0,2,0.0
O=N(=O)c1cc(Cl)c(Cl)cc1,192.001,2.901600000000001,43.14,1,0.5454545454545454
Oc1ccc(Cl)c(Cl)c1,163.003,2.6990000000000007,20.23,0,0.6666666666666666
Cc1ccc(O)cc1C,122.167,2.0090399999999997,20.23,0,0.6666666666666666
Cc1ccncc1C,107.156,1.69844,12.89,0,0.75
Clc1ccc(cc1Cl)c2ccccc2 ,223.102,4.660400000000002,0.0,1,0.8571428571428571
Oc1cc(Cl)cc(Cl)c1,163.003,2.699,20.23,0,0.6666666666666666
Cc1cc(C)cc(O)c1,122.16699999999996,2.0090399999999997,20.23,0,0.6666666666666666
Cc1cncc(C)c1,107.15599999999998,1.69844,12.89,0,0.75
O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,352.39000000000004,2.782800000000001,75.71,6,0.4615384615384615
COc1cccc(Cl)c1,142.58499999999998,2.3486,9.23,1,0.6666666666666666
c1c(Cl)cccc1c2ccccc2,188.657,4.007000000000002,0.0,1,0.9230769230769232
Oc1cccc(Cl)c1,128.558,2.0456,20.23,0,0.75
ClCCC#N ,89.525,1.13888,23.79,1,0.0
O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,324.33600000000007,2.0025999999999993,75.71,4,0.5
CCC(O)(CC)CC,116.204,1.9475,20.23,3,0.0
CCCCC(O)CC,116.20399999999998,1.9475,20.23,4,0.0
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,394.471,3.9531000000000023,75.71,9,0.4137931034482758
CCCC(O)CC,102.177,1.5574,20.23,3,0.0
CCCC(=O)CC,100.161,1.7656,17.07,3,0.0
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,380.444,3.5630000000000024,75.71,8,0.4285714285714285
CCC#CCC,82.14599999999999,1.8098,0.0,0,0.0
CC(C)C=C,70.135,1.8284,0.0,1,0.0
CC(C)C(C)O,88.14999999999999,1.0232,20.23,1,0.0
CC(C)C(=O)C,86.13399999999999,1.2314,17.07,1,0.0
CCC(C)CCO,102.177,1.4149,20.23,3,0.0
CCC(C)CCO,102.177,1.4149,20.23,3,0.0
CCC(C)C(=O)C,100.161,1.6215,17.07,2,0.0
CCCCC(C)(O)CC,130.23099999999997,2.3376,20.23,4,0.0
CCCC(C)(O)CC,116.20399999999998,1.9475,20.23,3,0.0
CCC(C)(O)CC,102.17699999999998,1.5574,20.23,2,0.0
CC(C)CCO,88.14999999999999,1.0248,20.23,2,0.0
c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2,268.3589999999999,5.553220000000004,0.0,0,0.8571428571428571
CCCCC(C)CC,114.232,3.2227000000000023,0.0,4,0.0
Cc1c[nH]c2ccccc12 ,131.17799999999997,2.4763200000000003,15.79,0,0.9
CCC(C)CC,86.178,2.442500000000001,0.0,2,0.0
Cc1cccc(O)c1,108.14,1.7006199999999998,20.23,0,0.75
CCCCCC(O)CC,130.23099999999997,2.3376,20.23,5,0.0
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,408.498,4.343200000000004,75.71,10,0.4
CCC(O)CC,88.15,1.1673,20.23,2,0.0
CCC(=O)CC,86.134,1.3755,17.07,2,0.0
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,366.417,3.172900000000002,75.71,7,0.4444444444444444
O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,338.36300000000006,2.3927000000000005,75.71,5,0.48
Clc1ccc(cc1)c2ccc(Cl)cc2 ,223.102,4.660400000000002,0.0,1,0.8571428571428571
Oc1ccc(Br)cc1,173.009,2.1547,20.23,0,0.75
Cc1ccc(Br)cc1,171.03700000000003,2.7575200000000013,0.0,0,0.75
COc1ccc(Cl)cc1,142.585,2.3486,9.23,1,0.6666666666666666
Oc1ccc(Cl)cc1,128.558,2.0456,20.23,0,0.75
Cc1ccc(Cl)cc1,126.586,2.6484200000000007,0.0,0,0.75
CCc1ccc(C)cc1,120.19499999999996,2.5574200000000005,0.0,1,0.6666666666666666
CCCC(O)CCC,116.204,1.9475,20.23,4,0.0
CCCC(=O)CCC,114.188,2.1557000000000004,17.07,4,0.0
c1(O)cc(O)ccc1CCCCCC,194.27399999999992,3.220600000000001,40.46,5,0.4285714285714285
Oc1ccncc1,95.10099999999998,0.7871999999999999,33.120000000000005,0,0.8571428571428571
CC(C)c1ccc(C)cc1,134.22199999999998,3.118420000000002,0.0,1,0.6
COc1ncnc2nccnc12 ,162.15200000000002,0.4283999999999998,60.790000000000006,1,0.8333333333333334
CC(C)CC(C)O,102.17699999999998,1.4133,20.23,2,0.0
CC(C)CC(=O)C,100.161,1.6215,17.07,2,0.0
Cc1ccc(cc1)c2ccccc2,168.239,3.662020000000002,0.0,1,0.9230769230769232
CC(C)CCCO,102.177,1.4149,20.23,3,0.0
Cc1ncnc2nccnc12,146.15299999999996,0.7282199999999999,51.56,0,0.9090909090909092
CC(=O)Nc1ccc(cc1)N(=O)=O,180.163,1.5531999999999997,72.24000000000001,2,0.4615384615384615
OCCCC=C,86.134,0.9449,20.23,3,0.0
O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,224.25999999999996,1.1050999999999993,75.27000000000001,3,0.0
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,238.287,1.3510999999999993,75.27000000000001,3,0.0
O=C1NC(=O)NC(=O)C1(CC=C)CC=C,208.21699999999996,0.4909999999999996,75.27000000000001,4,0.0
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,212.249,0.6507999999999994,75.27000000000001,2,0.0
O=C1NC(=O)NC(=O)C1(C)C,156.141,-0.6214000000000004,75.27000000000001,0,0.0
Oc2ccc1CCCCc1c2 ,148.205,2.271,20.23,0,0.5454545454545454
Cc1c(C)c2c3ccccc3ccc2c4ccccc14,256.348,5.763040000000004,0.0,0,0.9
O=C1NC(=O)NC(=O)C1(CC)CC=C,196.20599999999996,0.3248999999999995,75.27000000000001,3,0.0
