SMILES,HBA,BertzCT,TPSA,RotB,LogP,MolWt,AroProp,logS
O=N(=O)c1ccccc1N(=O)=O,4,303.0748996548373,86.28,2,1.503,168.10799999999995,0.5,-3.1
CC1CO1,1,22.46439344671015,12.53,0,0.4051,58.08,0.0,-0.59
Brc1cc(Br)cc(Br)c1,0,169.06517765499825,0.0,0,3.974100000000001,314.802,0.6666666666666666,-5.6
Clc1cc(Cl)cc(Cl)c1,0,169.06517765499825,0.0,0,3.6468000000000007,181.449,0.6666666666666666,-4.48
Cc1cc(C)cc(C)c1,0,160.80051514850786,0.0,0,2.611860000000001,120.19499999999998,0.6666666666666666,-3.4
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,6,377.17334888764105,129.42000000000002,3,1.4112,213.10499999999996,0.4,-2.89
Oc1cccc(O)c1,2,166.38833891467198,40.46,0,1.0978,110.11199999999998,0.75,0.81
C=CC=C,0,21.019550008653873,0.0,1,1.3584,54.09199999999999,0.0,-1.87
Brc1cccc(Br)c1,0,166.38833891467198,0.0,0,3.2116000000000007,235.906,0.75,-3.54
Clc1cccc(Cl)c1,0,166.38833891467198,0.0,0,2.993400000000001,147.004,0.75,-3.04
ClCCCCl,0,12.364527976600282,0.0,2,1.8541,112.987,0.0,-1.62
CCNC(=S)NCC,1,64.82892142331043,24.06,2,0.4903,132.232,0.0,-1.46
Fc1cccc(F)c1,0,166.38833891467198,0.0,0,1.9648,114.094,0.75,-2.0
Cc1cc(C)c2ccccc2c1,0,413.3078661934481,0.0,0,3.456640000000002,156.22799999999998,0.8333333333333334,-4.29
O=N(=O)c1cccc(c1)N(=O)=O,4,306.8248996548373,86.28,2,1.503,168.10799999999995,0.5,-2.29
Oc1ccc(O)cc1,2,145.38833891467198,40.46,0,1.0978,110.11199999999998,0.75,-0.17
C1C=CCC=C1,0,58.039100017307746,0.0,0,1.8926,80.12999999999998,0.0,-2.06
Brc1ccc(Br)cc1,0,145.38833891467198,0.0,0,3.2116000000000007,235.906,0.75,-4.07
Clc1ccc(Cl)cc1,0,145.38833891467198,0.0,0,2.993400000000001,147.00400000000002,0.75,-3.27
CCc1ccc(CC)cc1,0,160.69821324529929,0.0,2,2.811400000000001,134.22199999999998,0.6,-3.75
Fc1ccc(F)cc1,0,145.38833891467198,0.0,0,1.9648,114.094,0.75,-1.97
Cc1ccc(C)c2ccccc12,0,372.8078661934481,0.0,0,3.456640000000002,156.228,0.8333333333333334,-4.14
O=N(=O)c1ccc(cc1)N(=O)=O,4,285.8248996548373,86.28,2,1.503,168.10799999999995,0.5,-3.39
C=CCC=C,0,29.302968908806463,0.0,2,1.7485,68.119,0.0,-2.09
Cc1cccc2c(C)cccc12,0,372.057866193448,0.0,0,3.456640000000002,156.228,0.8333333333333334,-4.679
C=CCCC=C,0,36.0,0.0,3,2.1386000000000003,82.14599999999999,0.0,-2.68
c1cnc2c(c1)ccc3ncccc23,2,547.2925174892929,25.78,0,2.7830000000000004,180.21,1.0,-2.68
CC12CCC(CC1)C(C)(C)O2,1,160.9567031494677,9.23,0,2.7441000000000013,154.253,0.0,-1.74
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,2,545.9104984355639,37.3,0,4.269300000000004,302.4580000000001,0.0,-3.999
Nc2cccc3nc1ccccc1cc23 ,2,644.1543647116673,38.91,0,2.970200000000001,194.237,0.9333333333333332,-4.22
CC(C)CBr,0,17.609640474436812,0.0,1,2.0373,137.01999999999998,0.0,-2.43
CCCCBr,0,11.119415478763749,0.0,2,2.1814,137.01999999999998,0.0,-2.37
CCCCCCCBr,0,29.368065554250645,0.0,5,3.351700000000002,179.101,0.0,-4.43
CCCCCCBr,0,23.360990398949916,0.0,4,2.9616000000000016,165.074,0.0,-3.81
Brc1cccc2ccccc12,0,374.03449039867854,0.0,0,3.6023000000000014,207.07,0.9090909090909092,-4.35
CCCCCCCCBr,0,37.83229392178728,0.0,6,3.741800000000003,193.128,0.0,-5.06
CCCCCBr,0,15.900134529890124,0.0,3,2.5715000000000012,151.047,0.0,-3.08
CCCBr,0,5.245112497836532,0.0,1,1.7913,122.993,0.0,-1.73
CCCCO,1,11.119415478763749,20.23,2,0.7787999999999999,74.12299999999999,0.0,0.0
CCC=C,0,14.0,0.0,1,1.5824,56.108,0.0,-1.94
CCC#C,0,29.793193904479523,0.0,0,1.0295999999999998,54.09199999999999,0.0,-1.24
ClCCBr,0,8.0,0.0,1,1.6201,143.411,0.0,-1.32
ClCC(C)C,0,17.609640474436812,0.0,1,1.8812,92.569,0.0,-2.0
CCCCCl,0,11.119415478763749,0.0,2,2.0253,92.569,0.0,-2.03
CCCCCCCCl,0,29.368065554250645,0.0,5,3.1956000000000016,134.65,0.0,-4.0
CCCCCCCl,0,23.360990398949916,0.0,4,2.805500000000001,120.623,0.0,-3.12
Clc1cccc2ccccc12,0,374.03449039867854,0.0,0,3.4932000000000016,162.61899999999997,0.9090909090909092,-3.93
CCCCCCl,0,15.900134529890124,0.0,3,2.415400000000001,106.596,0.0,-2.73
CCCCl,0,5.245112497836532,0.0,1,1.6352,78.542,0.0,-1.47
CCCCCCCCCCO,1,53.89311688209828,20.23,8,3.119400000000002,158.285,0.0,-3.63
CCCCCCCCC=C,0,64.43856189774726,0.0,7,3.923000000000003,140.26999999999998,0.0,-5.51
CCCCCCCCCCCCO,1,71.19366193720087,20.23,10,3.899600000000003,186.33899999999997,0.0,-4.8
CCc1cccc2ccccc12,0,382.66537277547695,0.0,1,3.4022000000000023,156.22799999999998,0.8333333333333334,-4.17
CCCCCCCO,1,29.368065554250645,20.23,5,1.9491,116.204,0.0,-1.81
CCCCCC=C,0,37.30296890880646,0.0,4,2.752700000000001,98.189,0.0,-3.73
CCCCCC#C,0,56.92878689342032,0.0,3,2.1999000000000004,96.173,0.0,-3.01
CCCCCCCCCCCCCCCCO,1,108.69358616951132,20.23,14,5.460000000000006,242.44699999999992,0.0,-7.0
CCCCCCO,1,23.360990398949916,20.23,4,1.559,102.177,0.0,-1.24
CCCCC=C,0,29.019550008653873,0.0,3,2.3626000000000005,84.16199999999999,0.0,-3.23
CCCC(O)C=C,1,50.14170945007629,20.23,3,1.3334,100.161,0.0,-0.59
CCCCC#C,0,47.548875021634686,0.0,2,1.8098,82.14599999999999,0.0,-2.36
CCCCI,0,11.119415478763749,0.0,2,2.2215,184.02,0.0,-2.96
CCCCCCCI,0,29.368065554250645,0.0,5,3.3918000000000026,226.101,0.0,-4.81
Ic1cccc2ccccc12,0,374.03449039867854,0.0,0,3.4444000000000017,254.07,0.9090909090909092,-4.55
CCCI,0,5.245112497836532,0.0,1,1.8314,169.993,0.0,-2.29
CC1=CCCCC1,0,80.03910001730775,0.0,0,2.5067000000000004,96.17300000000002,0.0,-3.27
Cc1cccc2c1Cc3ccccc32,0,495.14153898843506,0.0,0,3.566220000000002,180.25000000000003,0.8571428571428571,-5.22
Cc1cccc2ccccc12,0,369.2000235425419,0.0,0,3.148220000000002,142.201,0.9090909090909092,-3.7
Cc1cccc2c1ccc3ccccc32,0,635.6567221133737,0.0,0,4.301420000000003,192.261,0.9333333333333332,-5.85
Cn1ccc(=O)[nH]c1=O,3,309.2243004823359,54.86,0,-0.9264,126.115,0.6666666666666666,-0.807
Oc1cccc2ccccc12,1,374.03449039867854,20.23,0,2.5454000000000008,144.17299999999997,0.9090909090909092,-2.22
Nc1cccc2ccccc12,1,374.03449039867854,26.02,0,2.4220000000000006,143.189,0.9090909090909092,-1.92
O=N(=O)c1cccc2ccccc12,2,459.93632858848656,43.14,1,2.748000000000001,173.171,0.7692307692307693,-3.54
CCCN(=O)=O,2,52.75488750216347,43.14,2,0.6731,89.09399999999998,0.0,-0.8
CCCCCCCCCO,1,44.68995593589281,20.23,7,2.7293000000000016,144.258,0.0,-3.01
CCCCCCCC=C,0,55.058650025961626,0.0,6,3.5329000000000024,126.243,0.0,-5.05
CCCCCCCC#C,0,76.52932501298082,0.0,5,2.980100000000002,124.227,0.0,-4.24
CCCCCCCCCCCCCCCCCCO,1,128.62570933197804,20.23,16,6.240200000000008,270.50099999999986,0.0,-8.4
CCCCCCCCO,1,37.83229392178728,20.23,6,2.3392000000000013,130.23100000000002,0.0,-2.39
CCCCCCC=C,0,46.0,0.0,5,3.142800000000002,112.216,0.0,-4.44
CCCCCCC#C,0,66.59772060569361,0.0,4,2.5900000000000007,110.2,0.0,-3.66
CCCCCCCCCCCCCCCO,1,98.00257888348511,20.23,13,5.069900000000006,228.41999999999993,0.0,-6.35
CCCCCO,1,15.900134529890124,20.23,3,1.1689,88.14999999999999,0.0,-0.6
CCCC=C,0,21.219280948873624,0.0,2,1.9725,70.135,0.0,-2.68
CCCC#C,0,38.49022499567306,0.0,1,1.4197,68.11899999999999,0.0,-1.64
CC(O)c1ccccc1,1,167.1823264341432,20.23,1,1.7399,122.16699999999996,0.6666666666666666,-0.92
CCCO,1,5.245112497836532,20.23,1,0.3887,60.096,0.0,0.62
CCCCCCCCCCCCCCO,1,89.51182269698973,20.23,12,4.679800000000005,214.39299999999992,0.0,-5.84
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,0,669.959813936206,0.0,1,9.8876,498.66200000000026,0.5454545454545454,-11.6
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,0,646.0791147319976,0.0,1,8.580799999999998,429.77200000000016,0.6,-9.16
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,0,564.9500798683472,0.0,1,7.274000000000001,360.88200000000006,0.6666666666666666,-8.01
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,0,593.5791147319975,0.0,1,8.580799999999998,429.77200000000016,0.6,-9.15
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,0,594.2000798683472,0.0,1,7.274000000000001,360.88200000000006,0.6666666666666666,-8.6
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,0,485.037124074059,0.0,1,5.967200000000002,291.99199999999996,0.75,-7.28
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,0,634.6079666719705,0.0,1,7.9274,395.3270000000001,0.631578947368421,-7.92
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,0,634.6079666719705,0.0,1,7.9274,395.3270000000001,0.631578947368421,-8.94
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,0,620.4500798683472,0.0,1,7.274000000000001,360.88200000000006,0.6666666666666666,-7.68
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,0,577.348938365776,0.0,1,6.620600000000001,326.437,0.7058823529411765,-7.21
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,0,577.348938365776,0.0,1,6.620600000000001,326.437,0.7058823529411765,-7.43
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl ,0,594.2000798683472,0.0,1,7.274000000000001,360.88200000000006,0.6666666666666666,-7.42
Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl ,0,534.5371240740591,0.0,1,5.967200000000002,291.9920000000001,0.75,-6.47
CC(C)C(C)(C)C,0,45.548875021634686,0.0,0,2.6885000000000012,100.20499999999998,0.0,-4.36
Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl ,0,564.9500798683472,0.0,1,7.274000000000001,360.88200000000006,0.6666666666666666,-8.56
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,0,518.4500798683472,0.0,1,7.274000000000001,360.88200000000006,0.6666666666666666,-8.71
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,0,534.5371240740591,0.0,1,5.967200000000002,291.99199999999996,0.75,-6.57
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,0,533.8489383657761,0.0,1,6.620600000000001,326.437,0.7058823529411765,-7.32
CC(C)CC(C)(C)C,0,54.92878689342032,0.0,1,3.0786000000000016,114.232,0.0,-4.74
CC(C)CCC(C)(C)C,0,64.59772060569361,0.0,2,3.468700000000003,128.259,0.0,-5.05
Clc1cccc(Cl)c1c2c(Cl)cccc2Cl ,0,444.53712407405914,0.0,1,5.967200000000002,291.99199999999996,0.75,-7.39
CCC(C)(C)CO,1,42.14170945007629,20.23,2,1.4149,102.17699999999998,0.0,-1.04
CCC(C)(C)C,0,29.793193904479523,0.0,0,2.442500000000001,86.17799999999998,0.0,-3.55
CCCC(C)(C)C,0,38.49022499567306,0.0,1,2.832600000000001,100.20499999999998,0.0,-4.36
CCCC(C)(C)CO,1,57.407165571558394,20.23,3,1.805,116.20399999999998,0.0,-1.52
CC(C)(C)CO,1,33.69332843436965,20.23,0,1.0248,88.14999999999999,0.0,-0.4
Clc1ccccc1c2ccccc2Cl ,0,406.0796467381504,0.0,1,4.660400000000002,223.102,0.8571428571428571,-5.27
Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl ,0,620.4500798683472,0.0,1,7.274,360.88200000000006,0.6666666666666666,-7.82
Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl ,0,663.8579666719705,0.0,1,7.9274,395.3270000000001,0.631578947368421,-7.66
Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl ,0,620.4500798683472,0.0,1,7.274000000000001,360.88200000000006,0.6666666666666666,-7.39
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,0,577.348938365776,0.0,1,6.620600000000001,326.437,0.7058823529411765,-7.8
Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl ,0,533.8489383657761,0.0,1,6.620600000000001,326.437,0.7058823529411765,-7.92
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,0,534.5371240740591,0.0,1,5.967200000000002,291.992,0.75,-7.25
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,1,270.8740242221354,20.23,0,4.0058,231.893,0.5454545454545454,-3.15
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,1,270.8740242221354,20.23,0,4.005799999999999,231.89299999999997,0.5454545454545454,-3.1
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,0,474.7259470533523,0.0,1,5.313800000000001,257.547,0.8,-6.29
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,0,474.7259470533523,0.0,1,5.313800000000001,257.547,0.8,-6.26
Oc1ccc(Cl)c(Cl)c1Cl,1,232.4149958700664,20.23,0,3.3524000000000003,197.448,0.6,-2.67
CC(C)C(C)C(C)C,0,45.058650025961626,0.0,2,2.9345000000000017,114.232,0.0,-4.8
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,1,270.8740242221354,20.23,0,4.0058,231.893,0.5454545454545454,-3.37
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,0,491.9759470533523,0.0,1,5.313800000000001,257.547,0.8,-6.01
Oc1cc(Cl)cc(Cl)c1Cl,1,236.16499587006643,20.23,0,3.3523999999999994,197.448,0.6,-2.67
Oc1c(Cl)ccc(Cl)c1Cl,1,232.4149958700664,20.23,0,3.3523999999999994,197.448,0.6,-2.64
O=N(=O)c1c(Cl)c(Cl)ccc1,2,300.6337992264623,43.14,1,2.901600000000001,192.00100000000003,0.5454545454545454,-3.48
Oc1cccc(Cl)c1Cl,1,202.0478870500104,20.23,0,2.699,163.003,0.6666666666666666,-1.3
CC(=C)C(=C)C,0,66.03910001730776,0.0,1,2.1386000000000003,82.146,0.0,-2.4
CC(C)C(C)C,0,21.019550008653873,0.0,1,2.2984,86.178,0.0,-3.65
Cc1cc2ccccc2cc1C,0,372.8078661934481,0.0,0,3.456640000000002,156.22799999999998,0.8333333333333334,-4.72
CCC(C)C(C)C,0,37.30296890880646,0.0,2,2.6885000000000012,100.20499999999998,0.0,-4.28
Cc1cccnc1C,1,160.49662946459569,12.89,0,1.69844,107.156,0.75,0.38
Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,0,474.7259470533523,0.0,1,5.313800000000001,257.547,0.8,-6.27
Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,0,474.7259470533523,0.0,1,5.313800000000001,257.547,0.8,-6.25
Oc1cc(Cl)c(Cl)cc1Cl,1,209.1649958700664,20.23,0,3.3524000000000003,197.448,0.6,-2.21
Clc1ccc(cc1)c2c(Cl)cccc2Cl ,0,454.47594705335234,0.0,1,5.313800000000001,257.547,0.8,-6.14
Oc1c(Cl)cc(Cl)cc1Cl,1,236.16499587006643,20.23,0,3.3523999999999994,197.448,0.6,-2.34
Cc1cc(C)c(O)c(C)c1,1,227.900333363576,20.23,0,2.3174600000000005,136.194,0.6,-2.05
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,6,461.8906850873485,129.42000000000002,3,1.7196200000000006,227.132,0.375,-3.22
Oc1ccc(Cl)cc1Cl,1,222.29788705001033,20.23,0,2.699,163.003,0.6666666666666666,-1.55
CC(C)CC(C)(C)O,1,59.277302439017085,20.23,2,1.8034,116.20399999999998,0.0,-0.92
CC(C)C(O)C(C)C,1,49.407165571558394,20.23,2,1.6593,116.20399999999998,0.0,-1.22
CC(C)C(=O)C(C)C,1,72.38761556290451,17.07,2,1.8675,114.18799999999996,0.0,-1.3
CC(C)CC(C)C,0,29.302968908806463,0.0,2,2.6885000000000012,100.20499999999998,0.0,-4.26
Cc1ccc(O)c(C)c1,1,215.80766205433727,20.23,0,2.0090399999999997,122.167,0.6666666666666666,-1.19
Cc1ccnc(C)c1,1,164.24662946459569,12.89,0,1.69844,107.156,0.75,0.38
Cc1ccc(cc1N(=O)=O)N(=O)=O,4,374.7553335743196,86.28,2,1.8114200000000005,182.135,0.4615384615384615,-2.82
Clc1ccc(cc1)c2ccccc2Cl ,0,432.3296467381504,0.0,1,4.660400000000002,223.102,0.8571428571428571,-5.28
Clc1ccc(cc1)c2ccccc2Cl ,0,432.3296467381504,0.0,1,4.660400000000002,223.102,0.8571428571428571,-5.25
Oc1c(Cl)cccc1Cl,1,202.04788705001036,20.23,0,2.699,163.003,0.6666666666666666,-1.79
Cc1ccc2cc(C)ccc2c1,0,372.057866193448,0.0,0,3.456640000000002,156.228,0.8333333333333334,-4.89
Cc1cccc(C)c1O,1,195.55766205433733,20.23,0,2.00904,122.167,0.6666666666666666,-1.29
Cc1cccc(C)n1,1,164.24662946459569,12.89,0,1.69844,107.156,0.75,0.45
Cc1c(cccc1N(=O)=O)N(=O)=O,4,342.5053335743196,86.28,2,1.8114200000000005,182.135,0.4615384615384615,-3.0
Clc1cccc(Cl)c1c2ccccc2 ,0,415.0796467381504,0.0,1,4.660400000000003,223.102,0.8571428571428571,-5.21
c2c(C)cc1nc(C)ccc1c2 ,1,381.5236683970916,12.89,0,2.8516400000000006,157.216,0.8333333333333334,-1.94
Nc3ccc2cc1ccccc1cc2c3 ,1,640.957112138695,26.02,0,3.5752000000000015,193.249,0.9333333333333332,-5.17
c1c(Br)ccc2ccccc12 ,0,379.2844903986785,0.0,0,3.6023000000000014,207.07,0.9090909090909092,-4.4
Brc1ccc2ccccc2c1,0,379.2844903986785,0.0,0,3.6023000000000014,207.07,0.9090909090909092,-4.4
CC(C)Br,0,8.0,0.0,0,1.7897,122.993,0.0,-1.59
Cc1ccccc1Br,0,160.49662946459569,0.0,0,2.7575200000000013,171.03699999999998,0.75,-2.23
CCC(=O)C,1,38.912609383243264,17.07,1,0.9854,72.107,0.0,0.52
CC=CC=O,1,45.60964047443681,17.07,1,0.7614000000000001,70.09100000000001,0.0,0.32
CCCCOCCO,2,31.509775004326936,29.46,5,0.7953999999999999,118.176,0.0,-0.42
CCC(C)(C)Cl,0,33.69332843436965,0.0,1,2.4138,106.596,0.0,-2.51
COc1ccccc1Cl,1,197.86256853719752,9.23,1,2.3486,142.58499999999998,0.6666666666666666,-2.46
Clc1ccccc1c2ccccc2,0,392.8790477621569,0.0,1,4.007000000000002,188.657,0.9230769230769232,-4.54
CCC(C)Cl,0,17.609640474436812,0.0,1,2.0237,92.569,0.0,-1.96
Clc1ccc2ccccc2c1,0,379.2844903986785,0.0,0,3.4932000000000016,162.61899999999997,0.9090909090909092,-4.14
Oc1ccccc1Cl,1,164.63833891467198,20.23,0,2.0456000000000003,128.558,0.75,-1.06
CC(C)Cl,0,8.0,0.0,0,1.6336,78.542,0.0,-1.41
Cc1ccccc1Cl,0,160.49662946459569,0.0,0,2.6484200000000007,126.586,0.75,-3.52
NC(N)=NC#N ,2,92.60593781761293,88.19,0,-1.2591199999999998,84.082,0.0,-0.31
CCCCCCCCC(=O)C,1,97.04589952780503,17.07,7,3.3260000000000023,156.269,0.0,-3.3
CCc1ccccn1,1,145.73281445033504,12.89,1,1.644,107.15599999999998,0.75,0.51
CCC(CC)CO,1,25.651484454403228,20.23,3,1.4149,102.177,0.0,-1.17
CCCCC(CC)CO,1,48.52932501298081,20.23,5,2.1951000000000005,130.231,0.0,-2.11
CCCC=C(CC)C=O,1,103.13526283059372,17.07,4,2.3218000000000005,126.19899999999998,0.0,-2.46
CCC(CC)C=O,1,46.14170945007629,17.07,3,1.6215,100.161,0.0,-1.52
CCCCC(CC)C=O,1,68.96788691072807,17.07,5,2.401700000000001,128.21499999999995,0.0,-2.13
CCc1ccc2ccccc2c1,0,387.91537277547695,0.0,1,3.4022000000000014,156.22799999999998,0.8333333333333334,-4.29
CCc1ccccc1C,0,188.98472797861993,0.0,1,2.5574200000000005,120.19499999999996,0.6666666666666666,-3.21
CCCCCC(C)O,1,41.65148445440323,20.23,4,1.9475,116.20399999999998,0.0,-1.55
CCCCCC(=O)C,1,66.78707744334402,17.07,4,2.1557000000000004,114.188,0.0,-1.45
CCCCC(C)O,1,33.161259458730164,20.23,3,1.5574,102.17699999999998,0.0,-0.89
CCCCC(=O)C,1,57.20035947603792,17.07,3,1.7656,100.161,0.0,-0.8
Oc2ncc1nccnc1n2,5,388.9939963432251,71.79,0,0.1253999999999998,148.125,0.9090909090909092,-1.947
Oc1ccccn1,2,138.00750422530467,33.120000000000005,0,0.7871999999999999,95.101,0.8571428571428571,1.02
CC(C)I,0,8.0,0.0,0,1.8298,169.993,0.0,-2.09
CC(C)c1ccccc1C,0,211.03322454351996,0.0,1,3.118420000000002,134.22199999999995,0.6,-3.76
COc2ncc1nccnc1n2,5,403.2834383297276,60.790000000000006,1,0.4283999999999998,162.152,0.8333333333333334,-1.11
CC=C(C)C,0,38.0,0.0,0,1.9725,70.13499999999999,0.0,-2.56
CC(=C)C=C,0,51.058650025961626,0.0,1,1.7485,68.11900000000001,0.0,-2.03
CCC(=C)C,0,35.302968908806456,0.0,1,1.9725,70.13499999999999,0.0,-2.73
CCCC(=C)C,0,44.0,0.0,2,2.3626000000000005,84.16199999999999,0.0,-3.03
CCCCCC(C)(C)O,1,61.45811190640113,20.23,4,2.337600000000001,130.231,0.0,-1.72
CCCCC(C)(C)O,1,51.897390567231454,20.23,3,1.9475,116.20399999999998,0.0,-1.08
CCCC(C)(C)O,1,42.63193444574935,20.23,2,1.5574,102.17699999999998,0.0,-0.49
CCC(O)C(C)C,1,41.444678358882754,20.23,2,1.4133,102.177,0.0,-0.7
Cc1ccc2cc3ccccc3cc2c1,0,635.6567221133737,0.0,0,4.301420000000002,192.261,0.9333333333333332,-6.96
CCC(C)(C)O,1,33.69332843436965,20.23,1,1.1673,88.14999999999998,0.0,0.15
CCC(C)C,0,14.0,0.0,1,2.0524,72.151,0.0,-3.18
CCC(C)CO,1,23.11941547876375,20.23,2,1.0248,88.14999999999999,0.0,-0.47
CCCCCC(C)C,0,37.30296890880646,0.0,4,3.2227000000000023,114.232,0.0,-5.08
Cc1ccc2ccccc2c1,0,374.4500235425418,0.0,0,3.148220000000001,142.201,0.9090909090909092,-3.77
CCCC(C)C,0,21.219280948873624,0.0,2,2.442500000000001,86.178,0.0,-3.74
CCCC(C)CO,1,35.161259458730164,20.23,3,1.4149,102.177,0.0,-1.11
Cc1ccc2c(ccc3ccccc32)c1,0,635.6567221133737,0.0,0,4.301420000000003,192.261,0.9333333333333332,-5.84
Cc1ccccc1O,1,160.49662946459569,20.23,0,1.70062,108.14,0.75,-0.62
CC(C)CO,1,17.609640474436812,20.23,1,0.6347,74.12299999999999,0.0,0.1
CC(C)C,0,4.754887502163469,0.0,0,1.6623,58.123999999999995,0.0,-2.55
CC(=C)C,0,23.019550008653873,0.0,0,1.5824,56.108,0.0,-2.33
Cc2ncc1nccnc1n2,4,384.85228689314886,51.56,0,0.7282199999999999,146.153,0.9090909090909092,-0.12
