SMILES,MolWt,LogP,TPSA,RotB,AroProp,HBD,HBA,RingCount,FractionCSP3,HeavyAtomCount,BertzCT
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,291.99199999999996,5.967200000000002,0.0,1,0.75,0,0,2,0.0,16,485.037124074059
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,395.3270000000001,7.9274,0.0,1,0.631578947368421,0,0,2,0.0,19,634.6079666719705
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,395.3270000000001,7.9274,0.0,1,0.631578947368421,0,0,2,0.0,19,634.6079666719705
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,360.88200000000006,7.274000000000001,0.0,1,0.6666666666666666,0,0,2,0.0,18,620.4500798683472
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,326.437,6.620600000000001,0.0,1,0.7058823529411765,0,0,2,0.0,17,577.348938365776
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,326.437,6.620600000000001,0.0,1,0.7058823529411765,0,0,2,0.0,17,577.348938365776
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl ,360.88200000000006,7.274000000000001,0.0,1,0.6666666666666666,0,0,2,0.0,18,594.2000798683472
Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl ,291.9920000000001,5.967200000000002,0.0,1,0.75,0,0,2,0.0,16,534.5371240740591
CC(C)C(C)(C)C,100.20499999999998,2.6885000000000012,0.0,0,0.0,0,0,0,1.0,7,45.548875021634686
Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl ,360.88200000000006,7.274000000000001,0.0,1,0.6666666666666666,0,0,2,0.0,18,564.9500798683472
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,360.88200000000006,7.274000000000001,0.0,1,0.6666666666666666,0,0,2,0.0,18,518.4500798683472
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,291.99199999999996,5.967200000000002,0.0,1,0.75,0,0,2,0.0,16,534.5371240740591
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,326.437,6.620600000000001,0.0,1,0.7058823529411765,0,0,2,0.0,17,533.8489383657761
CC(C)CC(C)(C)C,114.232,3.0786000000000016,0.0,1,0.0,0,0,0,1.0,8,54.928786893420316
CC(C)CCC(C)(C)C,128.259,3.468700000000003,0.0,2,0.0,0,0,0,1.0,9,64.59772060569361
Clc1cccc(Cl)c1c2c(Cl)cccc2Cl ,291.99199999999996,5.967200000000002,0.0,1,0.75,0,0,2,0.0,16,444.53712407405914
CCC(C)(C)CO,102.17699999999998,1.4149,20.23,2,0.0,1,1,0,1.0,7,42.14170945007629
CCC(C)(C)C,86.17799999999998,2.442500000000001,0.0,0,0.0,0,0,0,1.0,6,29.793193904479523
CCCC(C)(C)C,100.20499999999998,2.832600000000001,0.0,1,0.0,0,0,0,1.0,7,38.49022499567306
CCCC(C)(C)CO,116.20399999999998,1.805,20.23,3,0.0,1,1,0,1.0,8,57.407165571558394
CC(C)(C)CO,88.14999999999999,1.0248,20.23,0,0.0,1,1,0,1.0,6,33.69332843436965
Clc1ccccc1c2ccccc2Cl ,223.102,4.660400000000002,0.0,1,0.8571428571428571,0,0,2,0.0,14,406.07964673815036
Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl ,360.88200000000006,7.274,0.0,1,0.6666666666666666,0,0,2,0.0,18,620.4500798683472
Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl ,395.3270000000001,7.9274,0.0,1,0.631578947368421,0,0,2,0.0,19,663.8579666719705
Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl ,360.88200000000006,7.274000000000001,0.0,1,0.6666666666666666,0,0,2,0.0,18,620.4500798683472
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,326.437,6.620600000000001,0.0,1,0.7058823529411765,0,0,2,0.0,17,577.348938365776
Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl ,326.437,6.620600000000001,0.0,1,0.7058823529411765,0,0,2,0.0,17,533.8489383657761
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,291.992,5.967200000000002,0.0,1,0.75,0,0,2,0.0,16,534.5371240740591
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,231.893,4.0058,20.23,0,0.5454545454545454,1,1,1,0.0,11,270.8740242221354
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,231.89299999999997,4.005799999999999,20.23,0,0.5454545454545454,1,1,1,0.0,11,270.8740242221354
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,257.547,5.313800000000001,0.0,1,0.8,0,0,2,0.0,15,474.7259470533523
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,257.547,5.313800000000001,0.0,1,0.8,0,0,2,0.0,15,474.7259470533523
Oc1ccc(Cl)c(Cl)c1Cl,197.448,3.3524000000000003,20.23,0,0.6,1,1,1,0.0,10,232.41499587006638
CC(C)C(C)C(C)C,114.232,2.9345000000000017,0.0,2,0.0,0,0,0,1.0,8,45.058650025961626
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,231.893,4.0058,20.23,0,0.5454545454545454,1,1,1,0.0,11,270.8740242221354
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,257.547,5.313800000000001,0.0,1,0.8,0,0,2,0.0,15,491.9759470533523
Oc1cc(Cl)cc(Cl)c1Cl,197.448,3.3523999999999994,20.23,0,0.6,1,1,1,0.0,10,236.16499587006643
Oc1c(Cl)ccc(Cl)c1Cl,197.448,3.3523999999999994,20.23,0,0.6,1,1,1,0.0,10,232.41499587006638
O=N(=O)c1c(Cl)c(Cl)ccc1,192.00100000000003,2.901600000000001,43.14,1,0.5454545454545454,0,2,1,0.0,11,300.6337992264623
Oc1cccc(Cl)c1Cl,163.003,2.699,20.23,0,0.6666666666666666,1,1,1,0.0,9,202.0478870500104
CC(=C)C(=C)C,82.146,2.1386000000000003,0.0,1,0.0,0,0,0,0.3333333333333333,6,66.03910001730776
CC(C)C(C)C,86.178,2.2984,0.0,1,0.0,0,0,0,1.0,6,21.019550008653873
Cc1cc2ccccc2cc1C,156.22799999999998,3.456640000000002,0.0,0,0.8333333333333334,0,0,2,0.16666666666666666,12,372.8078661934481
CCC(C)C(C)C,100.20499999999998,2.6885000000000012,0.0,2,0.0,0,0,0,1.0,7,37.30296890880646
Cc1cccnc1C,107.156,1.69844,12.89,0,0.75,0,1,1,0.2857142857142857,8,160.49662946459569
Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,257.547,5.313800000000001,0.0,1,0.8,0,0,2,0.0,15,474.7259470533523
Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,257.547,5.313800000000001,0.0,1,0.8,0,0,2,0.0,15,474.7259470533523
Oc1cc(Cl)c(Cl)cc1Cl,197.448,3.3524000000000003,20.23,0,0.6,1,1,1,0.0,10,209.1649958700664
Clc1ccc(cc1)c2c(Cl)cccc2Cl ,257.547,5.313800000000001,0.0,1,0.8,0,0,2,0.0,15,454.47594705335234
Oc1c(Cl)cc(Cl)cc1Cl,197.448,3.3523999999999994,20.23,0,0.6,1,1,1,0.0,10,236.16499587006643
Cc1cc(C)c(O)c(C)c1,136.194,2.3174600000000005,20.23,0,0.6,1,1,1,0.3333333333333333,10,227.90033336357598
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,227.132,1.7196200000000006,129.42000000000002,3,0.375,0,6,1,0.14285714285714285,16,461.8906850873485
Oc1ccc(Cl)cc1Cl,163.003,2.699,20.23,0,0.6666666666666666,1,1,1,0.0,9,222.29788705001033
CC(C)CC(C)(C)O,116.20399999999998,1.8034,20.23,2,0.0,1,1,0,1.0,8,59.277302439017085
CC(C)C(O)C(C)C,116.20399999999998,1.6593,20.23,2,0.0,1,1,0,1.0,8,49.407165571558394
CC(C)C(=O)C(C)C,114.18799999999996,1.8675,17.07,2,0.0,0,1,0,0.8571428571428571,8,72.38761556290451
CC(C)CC(C)C,100.20499999999998,2.6885000000000012,0.0,2,0.0,0,0,0,1.0,7,29.302968908806463
Cc1ccc(O)c(C)c1,122.167,2.0090399999999997,20.23,0,0.6666666666666666,1,1,1,0.25,9,215.80766205433727
Cc1ccnc(C)c1,107.156,1.69844,12.89,0,0.75,0,1,1,0.2857142857142857,8,164.24662946459569
Cc1ccc(cc1N(=O)=O)N(=O)=O,182.135,1.8114200000000005,86.28,2,0.4615384615384615,0,4,1,0.14285714285714285,13,374.7553335743196
Clc1ccc(cc1)c2ccccc2Cl ,223.102,4.660400000000002,0.0,1,0.8571428571428571,0,0,2,0.0,14,432.3296467381504
Clc1ccc(cc1)c2ccccc2Cl ,223.102,4.660400000000002,0.0,1,0.8571428571428571,0,0,2,0.0,14,432.3296467381504
Oc1c(Cl)cccc1Cl,163.003,2.699,20.23,0,0.6666666666666666,1,1,1,0.0,9,202.04788705001036
Cc1ccc2cc(C)ccc2c1,156.228,3.456640000000002,0.0,0,0.8333333333333334,0,0,2,0.16666666666666666,12,372.05786619344804
Cc1cccc(C)c1O,122.167,2.00904,20.23,0,0.6666666666666666,1,1,1,0.25,9,195.55766205433733
Cc1cccc(C)n1,107.156,1.69844,12.89,0,0.75,0,1,1,0.2857142857142857,8,164.24662946459569
Cc1c(cccc1N(=O)=O)N(=O)=O,182.135,1.8114200000000005,86.28,2,0.4615384615384615,0,4,1,0.14285714285714285,13,342.5053335743196
Clc1cccc(Cl)c1c2ccccc2 ,223.102,4.660400000000003,0.0,1,0.8571428571428571,0,0,2,0.0,14,415.07964673815036
c2c(C)cc1nc(C)ccc1c2 ,157.216,2.8516400000000006,12.89,0,0.8333333333333334,0,1,2,0.18181818181818182,12,381.5236683970916
Nc3ccc2cc1ccccc1cc2c3 ,193.249,3.5752000000000015,26.02,0,0.9333333333333332,1,1,3,0.0,15,640.957112138695
c1c(Br)ccc2ccccc12 ,207.07,3.6023000000000014,0.0,0,0.9090909090909092,0,0,2,0.0,11,379.2844903986785
Brc1ccc2ccccc2c1,207.07,3.6023000000000014,0.0,0,0.9090909090909092,0,0,2,0.0,11,379.2844903986785
CC(C)Br,122.993,1.7897,0.0,0,0.0,0,0,0,1.0,4,8.0
Cc1ccccc1Br,171.03699999999998,2.7575200000000013,0.0,0,0.75,0,0,1,0.14285714285714285,8,160.49662946459569
CCC(=O)C,72.107,0.9854,17.07,1,0.0,0,1,0,0.75,5,38.912609383243264
CC=CC=O,70.09100000000001,0.7614000000000001,17.07,1,0.0,0,1,0,0.25,5,45.60964047443681
CCCCOCCO,118.176,0.7953999999999999,29.46,5,0.0,1,2,0,1.0,8,31.509775004326936
CCC(C)(C)Cl,106.596,2.4138,0.0,1,0.0,0,0,0,1.0,6,33.69332843436965
COc1ccccc1Cl,142.58499999999998,2.3486,9.23,1,0.6666666666666666,0,1,1,0.14285714285714285,9,197.86256853719752
Clc1ccccc1c2ccccc2,188.657,4.007000000000002,0.0,1,0.9230769230769232,0,0,2,0.0,13,392.8790477621569
CCC(C)Cl,92.569,2.0237,0.0,1,0.0,0,0,0,1.0,5,17.609640474436812
Clc1ccc2ccccc2c1,162.61899999999997,3.4932000000000016,0.0,0,0.9090909090909092,0,0,2,0.0,11,379.2844903986785
Oc1ccccc1Cl,128.558,2.0456000000000003,20.23,0,0.75,1,1,1,0.0,8,164.63833891467198
CC(C)Cl,78.542,1.6336,0.0,0,0.0,0,0,0,1.0,4,8.0
Cc1ccccc1Cl,126.586,2.6484200000000007,0.0,0,0.75,0,0,1,0.14285714285714285,8,160.49662946459569
NC(N)=NC#N ,84.082,-1.2591199999999998,88.19,0,0.0,2,2,0,0.0,6,92.60593781761293
CCCCCCCCC(=O)C,156.269,3.3260000000000023,17.07,7,0.0,0,1,0,0.9,11,97.04589952780505
CCc1ccccn1,107.15599999999998,1.644,12.89,1,0.75,0,1,1,0.2857142857142857,8,145.73281445033504
CCC(CC)CO,102.177,1.4149,20.23,3,0.0,1,1,0,1.0,7,25.651484454403228
CCCCC(CC)CO,130.231,2.1951000000000005,20.23,5,0.0,1,1,0,1.0,9,48.52932501298081
CCCC=C(CC)C=O,126.19899999999998,2.3218000000000005,17.07,4,0.0,0,1,0,0.625,9,103.13526283059372
CCC(CC)C=O,100.161,1.6215,17.07,3,0.0,0,1,0,0.8333333333333334,7,46.14170945007629
CCCCC(CC)C=O,128.21499999999995,2.401700000000001,17.07,5,0.0,0,1,0,0.875,9,68.96788691072807
CCc1ccc2ccccc2c1,156.22799999999998,3.4022000000000014,0.0,1,0.8333333333333334,0,0,2,0.16666666666666666,12,387.91537277547695
CCc1ccccc1C,120.19499999999996,2.5574200000000005,0.0,1,0.6666666666666666,0,0,1,0.3333333333333333,9,188.98472797861993
CCCCCC(C)O,116.20399999999998,1.9475,20.23,4,0.0,1,1,0,1.0,8,41.65148445440323
CCCCCC(=O)C,114.188,2.1557000000000004,17.07,4,0.0,0,1,0,0.8571428571428571,8,66.78707744334402
CCCCC(C)O,102.17699999999998,1.5574,20.23,3,0.0,1,1,0,1.0,7,33.161259458730164
